paperId	text	sdg	label
a72e8ff083e3b3b67bf70955747f1a74bd455c43	Our future in the Anthropocene biosphere 	11	0.3333333333333333
bd4a272fd3eebc50194d23a0e10780627fd54672	Machine Learning Driven Aid Classification for Sustainable Development 	9	0.3333333333333333
bbd6b4fc38ad4cd5a6ac48dd9c6b8c327e048349	Global, regional, and national quality of care of gallbladder and biliary tract cancer: a systematic analysis for the global burden of disease study 1990–2017 	3	0.3333333333333333
e7843e4b15f5c8af582254f8614fbc1ebaf773b0	Crowdfunding Campaigns for Paediatric Patients: A Cross-sectional Analysis of Success Determinants 	3	0.3333333333333333
18b1c7a553afc61bd26fe87d4d3ae2ff2bcabc00	Expenditure on health care in Poland compared to selected countries in 2010–2019 	3	0.3333333333333333
193ec4db61ef0f08bfc5f20a55a57ec3b27bb3fd	Chronic diseases and labour resources: “Old and new” European Union member states 	3	0.3333333333333333
a1d8f7586620f8392b8580a8f96a51e3ce6ee29b	Towards Financial Sustainability of the Hospital Sector in Poland—A Post Hoc Evaluation of Policy Approaches 	3	0.3333333333333333
4e7938ee853126ab10d192d4ad034ebe4182e29e	Financial Performance of Public Hospitals: A Cross-Sectional Study among Polish Providers 	3	0.3333333333333333
09c6908ac61d79f255e0aa25d8db1eaaf3e923cb	Accessibility of Health Care and Recent Changes in Health System of the Republic of Belarus 	3	0.3333333333333333
3557ec30117bd067323ea608d5ed5ebfb0ee7108	Czas oczekiwania na świadczenia medyczne w Polsce w świetle doświadczeń wybranych państw OECD 	3	0.3333333333333333
5f1a62f00141f75972e9bed9f4f89618c9195a91	Institutional Drift of the Healthcare System in Poland – the Institutional Approach 	3	0.3333333333333333
0fe3b4c469c6a548f176a6ae3e6be975d055123f	Biomedical practices from a patient perspective. Experiences of Polish female migrants in Barcelona, Berlin and London 	3	0.3333333333333333
206d371ca8c1ffd196dd80ff5b5e8533cc648032	The role of governance in realising the transition towards sustainable societies 	3	0.3333333333333333
03b6eb301cc0bc45e09804cd7b9b507b91a7628d	State budget transfers to Health Insurance Funds for universal health coverage: institutional design patterns and challenges of covering those outside the formal sector in Eastern European high-income countries 	3	0.3333333333333333
77adbc151da3174419067817f468a23899143739	Erratum to: State budget transfers to Health Insurance Funds for universal health coverage: institutional design patterns and challenges of covering those outside the formal sector in Eastern European high-income countries 	3	0.3333333333333333
1772918e99c528d492852ab81a34387808f2930a	Clinical and health care aspects of respiratory tract disorders in Poland. 	3	0.3333333333333333
84306d08294f821ece76146d830b1889385b59cf	A cross-sectional study assessing determinants of the attitude to the introduction of eHealth services among patients suffering from chronic conditions 	3	0.3333333333333333
3d617c4fff76b4a51c3705741842e0f2bf89514a	The first attempt to create a national strategy for reducing waiting times in Poland: will it succeed? 	3	0.3333333333333333
81e99f6cda2135ef1a20bc033c51fed2262628da	Medical Travels of Polish Female Migrants in Europe 	3	0.3333333333333333
5608621f069108180cd22115695b31c35ff3bda6	Growing Inequalities and Their Impacts in Poland 	3	0.3333333333333333
a436dcd6462127c897e19bcffa667de71204cdfa	GINI Country Report: Growing Inequalities and their Impacts in Poland 	3	0.3333333333333333
5a927fd69a1b9e0431c449f93f80ddb83bb9f0bb	Turystyka medyczna w Europie i w Polsce - stan obecny, bariery rozwoju, perspektywy i rekomendacje dotyczące rozwoju przyjazdowej turystyki medycznej w Polsce 	3	0.3333333333333333
bcf29f639ee5c394055232a8fae44334db5f2629	Ochrona zdrowia w warunkach turbulencji w gospodarce światowej 	3	0.3333333333333333
df7379fb8b4e4894e685bb9641f108ee349841e0	Konsekwencje migracji wysoko wykwalifikowanego kapitału ludzkiego dla krajów wysyłających i migrantów na przykładzie personelu medycznego 	3	0.3333333333333333
280901e7decfe6573f1099c884219a4611665f7c	Public Policy: Object of Choice or Emergent Phenomena? Learning from the Implementation of the Medical Reimbursement Act in Poland 	3	0.3333333333333333
075d84b5143d37c1feab3fb664e129ffd9a09e71	CLASSIFICATION OF FINANCIAL MECHANISMS OF HEALTHCARE SYSTEMS IN THE COUNTRIES OF EUROPEAN UNION 	3	0.3333333333333333
af7b4523afc738a4b5e714f9c299ec3a1afdec3d	Wpływ chorób przewlekłych na potencjał polskiego rynku pracy w kontekście starzenia się zasobów pracy w Polsce 	3	0.3333333333333333
a9d975e046c62fae8cf1035e7914c4cd4ff3027f	ACCESS TO HIGH-QUALITY ONCOLOGY CARE ACROSS EUROPE 	3	0.3333333333333333
3eb135ecd4bd677d1c99986a28eab8278277e0de	Differential Education Subsidy Policy and Wage Inequality Between Skilled, Semi-skilled and Unskilled Labour: A General Equilibrium Approach 	10	0.5555555555555556
73e18be0f1ab1fe47101fd9e4ff4c3009739f4d7	Declining Job Quality in the United States: Explanations and Evidence 	10	0.5555555555555556
bd7ef69334c782c520724fe085caad814f012889	Does the Dispersion of Skills Explain Inequality in Market Labor Income? An Analysis From Occupational Choice Models 	10	0.5555555555555556
f115fac8e611c6c69a116587f27f728fd8cac395	Education systems, education reforms, and adult skills in the Survey of Adult Skills (PIAAC) 	10	0.5555555555555556
5ecb9e6a6308698906f09fb8e48f9be9c95ef2b4	Conceptual foundations for understanding inequality in participation in adult learning and education (ALE) for international comparisons 	10	0.5555555555555556
12d97dc5afdd06f4c71e29868b25dea391fed90b	Skills for the 21st century 	10	0.5555555555555556
781cea3b73a81f0673e10a7ceb0c20f075c6d285	Skilled or Educated? Educational Reforms, Human Capital, and Earnings ☆ 	10	0.5555555555555556
69aa1f5174c072a1700ee54182be258cbbff524b	La rincorsa mancata. Istruzione e cambiamento tecnologico in Italia a confronto con le altre economie avanzate 	10	0.5555555555555556
5167dbb35504ee337cfdba2b04145d9318dd3080	Using the job requirements approach and matched employer-employee data to investigate the content of individuals’ human capital 	10	0.5555555555555556
f9648ebfacd86cfdfc280473bcb901e76b454f70	Wage Inequality and Cognitive Skills: Re-Opening the Debate 	10	0.5555555555555556
629ebb36fcc18fcca2024460117eb0fe15033665	The Distribution of Skills Among the European Adult Population and Unemployment: A Comparative Approach 	10	0.5555555555555556
a1166e677c2a1bdbf1cb9ac5aa0804c6213ea6c1	Global higher education in need of more and better learning metrics. Why OECD's AHELO project might help to fill the gap 	10	0.5555555555555556
16488229e2b7d1dda7ecd653e4d284bd030be2b0	Global higher education in need of more and better learning metrics. Why OECD's AHELO project might help to fill the gap 	10	0.5555555555555556
5594a1cb63654a3a9185c8ad8a7ff8ee3a67a963	Why is Wage Inequality so High in the United States? Pitching Cognitive Skills Against Institutions (Once Again) 	10	0.5555555555555556
437c757390b44380fe1068e684bf346a6d6fe830	Wage inequality, skill inequality, and employment: Evidence from PIAAC 	10	0.5555555555555556
ae56155d7ca040e7c2c4768516950436d0c0e377	Education System and Labor Market in the Context of Digital Transformation 	10	0.5555555555555556
def888450cc26f0865dc42fa7f55c064cec0a696	Practising critical pedagogy through the lens of constructive-developmental theory 	10	0.5555555555555556
b8266cc3fd10b90372a247626ef058b52d70f7f0	Fernandez Examining the Ways that Numeracy Skills and Soft Skills are Related to Occupational Status : The Case of U . S . Workers 	10	0.5555555555555556
8a81ab6147ba041f914c84b523569497defa759a	DIRECTORATE FOR EDUCATION AND SKILLS SKILLS FOR THE 21 ST CENTURY : FINDINGS AND POLICY LESSONS FROM THE OECD SURVEY OF ADULT SKILLS OECD Education Working Paper No . 166 	10	0.5555555555555556
bb9f0c55c24810951cd78668942a4441f76cb106	No . 166 Skills for the 21 st century FINDINGS AND POLICY LESSONS FROM THE OECD SURVEY OF ADULT SKILLS 	10	0.5555555555555556
bdcba99dfa95629379d59ef75cffacd71bba8483	The role of literacy and numeracy skills across gender and countries 	10	0.5555555555555556
5217cb08a60129a5922db33d381cef4b889da3d8	The Research Data Center PIAAC at GESIS 	10	0.5555555555555556
d614f3ead0e46f1e14ff02422d251f0e9da7e017	Do skills matter for wage inequality ? Policies to tackle wage inequality should focus on skills alongside reform of labor market institutions 	10	0.5555555555555556
dd498876b9e6b3a38692928360a0b3870f4c0de5	Transcending Boundaries: Educational Trajectories, Subject Domains, and Skills Demands 	10	0.5555555555555556
1ca6abec51feea7963c26cd4be64e9d5d2fae031	Skilled or educated? Educational reforms, human capital and earnings 	10	0.5555555555555556
afe658b196431f08fcc085aae3bc74b8a13855c4	Improving water markets in Spain: Lesson-drawing from the Murray-Darling Basin in Australia 	6	0.3333333333333333
5ae3ea4d0c031a09fe12892edb1dd7d8817c8cd1	Wheat sustainable supply chain network design with forecasted demand by simulation 	6	0.3333333333333333
d916e8de3dc2c2cddacf2e8ab2156bec6b4fdc31	The Fifth Stage in Water Management: Policy Lessons for Water Governance 	6	0.3333333333333333
5a7f0e842e2d236864b7201ce49f9c12e37f4892	Thinking food like an East European: A critical reflection on the framing of food systems 	6	0.3333333333333333
f7dafceefe34c1a7c91705d8c2623f6d90808810	Software tools for management of conjunctive use of surface- and ground-water in the rural environment: integration of the Farm Process and the Crop Growth Module in the FREEWAT platform 	6	0.3333333333333333
810beb2eaf2d4f567df1b23410ddfbb7f44d4895	Water scarcity in Brazil: part 1—regionalization of the AWARE model characterization factors 	6	0.3333333333333333
3aeaad83bfac0a38e397082990b2880273152e39	Encouraging policy change for sustainable and resilient fisheries 	6	0.3333333333333333
